Dataset,sms_emoa,sms_emoa,sms_emoa
Colorectal_GSE25070,0.8756493566364029,0.0,0.0
Colorectal_GSE32323,0.704044011451988,0.0,0.0
Colorectal_GSE44076,0.9772731652206221,0.0,0.0
Colorectal_GSE44861,0.8042099006065976,0.0,0.0
Liver_GSE14520_U133A,0.9561800757205327,0.0,0.0
Liver_GSE50579,0.6197646084488857,0.0,0.0
Liver_GSE62232,0.9822547049503174,0.0,0.0
Leukemia_GSE22529_U133A,0.8138071187457698,0.0,0.0
Leukemia_GSE22529_U133B,0.8017176674817073,0.0,0.0
Leukemia_GSE33615,0.9824045318333193,0.0,0.0
Leukemia_GSE63270,0.9714662373018113,0.0,0.0
ALL-AML-full,0.868025416291557,0.0,0.0
Breast_GSE22820,0.9561493249330312,0.0,0.0
Breast_GSE59246,0.7966295084452909,0.0,0.0
Breast_GSE70947,0.8538296282080364,0.0,0.0
breastCancer-full,0.5938504621169994,0.0,0.0
Prostate_GSE6919_U95Av2,0.6530098815443885,0.0,0.0
Prostate_GSE6919_U95B,0.6685849684924471,0.0,0.0
Prostate_GSE11682,0.5161760458079524,0.0,0.0
prostate_tumorVSNormal-full,0.7355567488005619,0.0,0.0
